"id_releve","YR.REL","x_l93","y_l93","ELEV","surface","meta_original_id_rel"
9899684,2010,993581.129,6386913.271,2380,NA,753476
9899999,2002,996562.424,6362419.684,2312,NA,391199
9900118,2008,1006794.98,6392250.5,2550,NA,659976
9900395,2004,990423.85,6411961.286,2381,NA,574531
9903299,2014,952492.1304,6445570.8822,2326,80,990549
9908014,2014,967507.0105331,6413626.348837,2301,10,1053140
9911079,2010,969215.669,6436644.532,2347,NA,754347
9912605,2011,990467.19,6547583.84,2065,NA,894779
9913811,2002,994711.709,6353849.695,2591,NA,390651
9921918,2019,1008465.401,6489995.654,2608,NA,1548466
9927129,2010,982376.599,6352757.349,2437,NA,753541
9927173,2010,1001349.787,6379620.159,2533,NA,754132
9931237,2002,996546.701,6356356.156,2504,100,390576
9939096,2017,981247.1111143,6369793.577518,2280,40,1391316
9940430,2002,1005206.285,6368108.331,2361,NA,389714
9944268,2005,930492.562,6433304.145,2347,NA,570975
9944782,2002,1007196.136,6369739.78,2507,NA,389753
9946335,2008,986557.169,6418661.327,2558,NA,658792
9948805,2011,996730.878,6360325.635,2439,NA,917748
9953573,2016,1012235.496426,6495148.035398,2476,16,1205607
9953957,2014,952495.0602,6445514.3124,2330,80,990550
9957310,2001,998345.808,6357660.33,2495,25,388471
9958284,2002,999837.255,6363925.213,2498,NA,389953
9958684,2002,1004214.268,6366846.06,2600,NA,389801
9959165,2008,929232.954,6397396.05,2180,NA,655427
9959883,2019,1011706.991,6489825.115,2391,NA,1548507
9960116,2015,1004549.49364,6469194.109232,2477,50,1082033
9961077,2013,936817.8363786,6429447.9635,2071,100,1052923
9963028,2004,971900.59,6401783.476,2721,NA,570810
9963668,2004,998848.529,6422897.98,2707,NA,574990
9963670,2004,999175.947,6422974.735,2562,NA,574998
9963724,2004,1001119.276,6421099.805,2353,NA,575322
9963755,2004,1004403.46,6424558.943,2858,NA,575446
9963761,2004,1004119.203,6422943.789,2521,NA,575493
9963820,2004,996063.812,6424440.296,2429,NA,575865
9964581,2010,949462.689,6411515.03,2132,NA,753657
9965530,1997,992512.774,6342366.18,2242,NA,386903
9970781,2004,998263.511,6424200.951,2494,NA,575885
9974050,2012,926491.2882,6410218.6512,1905,150,928984
9982965,1997,994324.283,6341129.052,2445,NA,386921
9984619,2002,1000090.747,6361624.067,2361,NA,391186
9991521,1991,967820.131,6441571.656,2391,NA,409082
9995204,2002,995643.204,6353681.133,2537,NA,390503
10015349,2004,990483.676,6419128.158,2524,NA,574848
10020709,2004,1000613.85,6421182.495,2470,NA,574664
10020710,2004,1000624.302,6421083.922,2484,NA,574666
10020730,2004,1002314.373,6422908.019,2339,NA,574688
10020731,2004,1002618.364,6422557.486,2547,NA,574692
10021250,2004,997935.205,6423876.014,2730,NA,575882
10022739,2004,996522.617,6423953.741,2617,NA,573632
10029814,2002,1009945.728,6375000.928,2410,20,390158
10029849,2002,996853.607,6355630.899,2377,15,390588
10032236,2001,996773.082,6356331.787,2479,25,388562
10033362,2002,1004904.121,6367540.125,2440,NA,389821
10034758,2002,995258.629,6354068.49,2424,25,390657
10041647,2012,925803.015,6410244.189,2191,80,929004
10043779,2002,1004442.577,6368451.671,2381,NA,389722
10046887,2004,998628.157,6423469.854,2574,NA,574405
10059577,2000,967326.184,6446681.767,2567,NA,672624
10059578,2000,967692.792,6446598.523,2554,NA,672630
10065474,2016,1011752.450224,6496008.156502,2496,16,1205585
10067095,2019,992479,6423011,2297,20,NA
10067116,2019,995753,6427171.99999999,1934,50,NA
10283894,2020,946291.72,6457702.09,2326,50,NA
11252065,2021,979643.16,6437459.36,2207,30,NA
