"ID","CAREX","SALIX","YR","X_L93","Y_L93"
"8,5/18,5",1,0,2001,967177.4,6446694.5
"8,5/19,5",1,0,2001,967189.4,6446695.5
"8,5/19,5",1,0,2001,967189.4,6446695.5
"8,5/3,5",1,0,2001,967001.8,6446679.8
"8,5/4,5",1,0,2001,967012.7,6446680.7
"8,5/5,5",0,0,2001,967024.6,6446681.7
"8,5/6,5",0,0,2001,967036.5,6446682.7
"8,5/7,5",0,0,2001,967048.5,6446683.7
"8,5/8,5",0,0,2001,967060.1,6446684.9
"8,5/9,5",0,1,2001,967072.3,6446685.7
"9,0/10,0",0,1,2001,967078.2,6446680.7
"9,0/11,0",0,1,2001,967089.8,6446681.6
"9,0/12,0",0,1,2001,967102,6446682.7
"9,0/13,0",0,0,2001,967112.9,6446683.7
"9,0/14,0",0,0,2001,967124.8,6446684.7
"9,0/15,0",1,1,2001,967136.7,6446685.7
"9,0/16,0",0,1,2001,967148.6,6446686.6
"9,0/17,0",0,1,2001,967159.6,6446687.6
"9,0/18,0",0,0,2001,967172.5,6446688.6
"9,0/19,0",0,0,2001,967184,6446689.6
"9,0/20,0",0,0,2001,967195.7,6446690.6
"9,0/3,0",1,0,2001,966995.7,6446673.6
"9,0/4,0",1,0,2001,967007.8,6446674.8
"9,0/5,0",0,0,2001,967019.2,6446675.7
"9,0/6,0",0,0,2001,967030.6,6446676.8
"9,0/7,0",0,0,2001,967042.5,6446677.8
"9,0/8,0",0,0,2001,967054.4,6446678.8
"9,0/9,0",0,0,2001,967066.2,6446679.5
"9,5/10,5",0,1,2001,967084.2,6446674.8
"9,5/11,5",0,1,2001,967096.1,6446675.8
"9,5/12,5",0,0,2001,967108,6446676.8
"9,5/13,5",0,0,2001,967119.9,6446677.8
"9,5/14,5",0,1,2001,967130.8,6446678.8
"9,5/15,5",0,1,2001,967143.7,6446679.8
"9,5/16,5",0,1,2001,967154.6,6446680.7
"9,5/17,5",0,1,2001,967166.5,6446681.7
"9,5/18,5",0,0,2001,967178.4,6446682.7
"9,5/19,5",0,0,2001,967190.2,6446683.7
"9,5/19,5",0,0,2001,967190.2,6446683.7
"9,5/2,5",1,0,2001,966989.9,6446667
"9,5/3,5",1,0,2001,967001.8,6446667.9
"9,5/4,5",0,0,2001,967013.7,6446668.9
"9,5/5,5",0,0,2001,967025.6,6446669.9
"9,5/6,5",0,0,2001,967036.5,6446670.9
"9,5/7,5",0,0,2001,967049.4,6446671.9
"9,5/8,5",0,0,2001,967060.4,6446672.9
"9,5/9,5",0,0,2001,967072.3,6446673.8
"1,5/8,5",1,0,2022,967055.6,6446765.2
"1,5/9,5",1,0,2022,967067.5,6446765.5
"10,0/10,0",0,1,2022,967078.2,6446668.9
"10,0/11,0",0,0,2022,967090.1,6446669.9
"10,0/12,0",0,1,2022,967102,6446670.9
