ID;Year;X_L93;Y_L93;Care myos;Sali herb
19.0/12.0;2001;967107,3806;6446567,795;1;0
2.0/10.0;2001;967074,2455;6446761,434;1;0
2.0/9.0;2001;967061,35;6446760,479;1;0
2.5/10.5;2001;967080,1987;6446756,542;1;0
2.5/8.5;2001;967056,3898;6446754,573;1;0
2.5/9.5;2001;967068,2943;6446755,557;1;0
20.0/11.0;2001;967096,1374;6446555,229;0;0
20.0/12.0;2001;967107,9096;6446556,246;0;1
21.0/12.0;2001;967108,5378;6446544,822;1;1
3.0/10.0;2001;967074,2465;6446749,651;1;0
3.0/15.0;2001;967132,7767;6446754,573;1;0
3.0/16.0;2001;967145,1066;6446755,543;1;0
3.0/17.0;2001;967156,5856;6446756,542;1;0
3.0/18.0;2001;967168,49;6446757,526;1;0
3.0/9.0;2001;967062,342;6446748,666;1;0
3.5/10.5;2001;967080,7176;6446744,366;1;0
3.5/11.5;2001;967093,0952;6446745,713;1;0
3.5/12.5;2001;967104,0076;6446746,697;1;0
3.5/13.5;2001;967115,912;6446747,682;1;0
3.5/14.5;2001;967127,8165;6446748,666;1;0
3.5/15.5;2001;967139,7209;6446749,651;1;0
3.5/16.5;2001;967150,6333;6446750,635;1;0
3.5/17.5;2001;967163,5298;6446751,62;1;0
3.5/8.5;2001;967057,3818;6446742,76;1;0
4.0/10.0;2001;967075,2842;6446738,097;1;0
4.0/11.0;2001;967086,1509;6446738,822;0;0
4.0/12.0;2001;967099,0474;6446740,791;1;0
4.0/13.0;2001;967110,5665;6446740,875;1;0
4.0/14.0;2001;967121,8643;6446742,76;1;0
4.0/15.0;2001;967133,7687;6446743,744;1;0
4.0/16.0;2001;967145,6731;6446744,729;1;1
4.0/17.0;2001;967157,4455;6446745,151;0;1
4.0/18.0;2001;967169,3497;6446746,135;0;1
4.0/9.0;2001;967063,4176;6446737,025;1;0
4.5/10.5;2001;967080,9557;6446732,625;0;0
4.5/11.5;2001;967093,0952;6446733,9;0;0
4.5/12.5;2001;967104,9996;6446734,884;0;0
4.5/13.5;2001;967116,9041;6446735,869;1;0
4.5/14.5;2001;967127,8165;6446736,853;0;0
4.5/15.5;2001;967140,713;6446737,837;1;0
4.5/16.5;2001;967151,6254;6446738,822;1;1
4.5/17.5;2001;967163,5298;6446739,806;1;1
4.5/7.5;2001;967045,9695;6446729,732;0;0
4.5/8.5;2001;967057,3818;6446729,962;1;0
4.5/9.5;2001;967069,579;6446731,862;1;0
5.0/10.0;2001;967075,7605;6446726,429;0;0
5.0/11.0;2001;967087,4605;6446727,591;0;0
5.0/12.0;2001;967099,2555;6446728,611;0;0
5.0/13.0;2001;967110,9634;6446729,286;0;0
5.0/14.0;2001;967122,8495;6446730,501;1;0
5.0/15.0;2001;967134,6764;6446731,612;1;1
5.0/16.0;2001;967146,6652;6446732,915;1;0
5.0/17.0;2001;967158,1034;6446733,546;1;0
5.0/8.0;2001;967052,2312;6446724,611;1;0
5.0/9.0;2001;967063,8738;6446725,627;0;0
5.5/10.5;2001;967081,8455;6446721,393;0;0
5.5/11.5;2001;967094,0872;6446722,087;0;0
5.5/12.5;2001;967104,9996;6446723,071;0;0
5.5/13.5;2001;967116,9007;6446724,325;0;0
5.5/14.5;2001;967128,8085;6446725,04;1;0
5.5/15.5;2001;967140,713;6446726,516;1;0
5.5/16.5;2001;967152,3843;6446727,324;1;0
5.5/17.5;2001;967164,5219;6446728,978;1;0
5.5/6.5;2001;967034,565;6446717,164;1;0
5.5/7.5;2001;967046,4694;6446718,149;1;0
5.5/8.5;2001;967058,3739;6446719,133;0;0
5.5/9.5;2001;967070,2783;6446720,118;0;0
6.0/10.0;2001;967076,2306;6446715,195;0;0
6.0/11.0;2001;967088,0425;6446716,074;0;0
6.0/12.0;2001;967100,0394;6446717,164;0;0
6.0/13.0;2001;967110,9519;6446718,149;0;0
6.0/14.0;2001;967123,3985;6446719,064;0;0
6.0/15.0;2001;967134,7607;6446720,118;1;0
6.0/16.0;2001;967146,6652;6446721,102;1;0
6.0/17.0;2001;967158,5696;6446722,087;0;0
6.0/6.0;2001;967029,474;6446711,258;1;0
6.0/7.0;2001;967040,5172;6446712,242;0;0
6.0/8.0;2001;967052,4217;6446713,227;0;0
6.0/9.0;2001;967064,3261;6446714,211;0;0
6.5/10.5;2001;967082,1828;6446709,289;0;0
6.5/11.5;2001;967094,0872;6446710,273;0;0
6.5/12.5;2001;967105,4956;6446711,75;0;0
