ID;Year;X_L93;Y_L93;Cluster
13.5/4.5;2022;967015,7163;6446623,643;5
13.5/5.5;2022;967027,6207;6446624,627;9
13.5/6.5;2022;967039,5252;6446625,612;5
13.5/7.5;2022;967051,4296;6446626,596;2
13.5/8.5;2022;967062,342;6446627,581;2
13.5/9.5;2022;967075,2385;6446628,565;4
14.0/0.0;2022;966963,1383;6446613,799;3
14.0/1.0;2022;966975,0428;6446614,291;3
14.0/10.0;2022;967081,0584;6446623,114;4
14.0/12.0;2022;967104,4045;6446625,189;3
14.0/13.0;2022;967116,1898;6446626,239;1
14.0/16.0;2022;967151,6254;6446629,55;3
14.0/3.0;2022;966998,5542;6446616,289;2
14.0/4.0;2022;967010,3923;6446617,141;10
14.0/5.0;2022;967021,6685;6446618,721;4
14.0/7.0;2022;967045,4774;6446620,69;2
14.0/8.0;2022;967057,3818;6446621,674;9
14.5/1.5;2022;966980,995;6446608,877;3
14.5/10.5;2022;967087,143;6446617,736;4
14.5/11.5;2022;967099,0474;6446618,721;3
14.5/12.5;2022;967109,9598;6446619,705;1
14.5/2.5;2022;966992,8994;6446609,861;2
14.5/5.5;2022;967028,6128;6446612,814;4
14.5/6.5;2022;967039,5252;6446613,799;3
14.5/7.5;2022;967052,4217;6446614,783;4
14.5/8.5;2022;967063,3341;6446615,768;4
14.5/9.5;2022;967075,2385;6446616,752;4
15.0/1.0;2022;966975,6675;6446602,597;2
15.0/10.0;2022;967081,1907;6446611,83;4
15.0/11.0;2022;967093,0952;6446612,814;3
15.0/12.0;2022;967104,9996;6446613,799;3
15.0/2.0;2022;966987,3674;6446603,668;5
15.0/4.0;2022;967010,7561;6446605,923;10
15.0/5.0;2022;967022,6605;6446606,908;4
15.0/6.0;2022;967034,565;6446607,892;9
15.0/7.0;2022;967045,4774;6446608,877;10
15.0/8.0;2022;967058,0167;6446609,742;9
15.5/1.5;2022;966981,7011;6446597,413;2
15.5/10.5;2022;967087,143;6446606,908;5
15.5/14.5;2022;967134,7607;6446610,845;1
15.5/2.5;2022;966993,3955;6446598,54;2
15.5/5.5;2022;967028,6128;6446601,985;5
